"Count of Vehicles by Make ,Body Type and Colour as at  30th June 2020",,,,
MAKE_DESC,BODY_TYPE_DESC,YEAR_OF_MANUFACTURE,COLOUR_DESC,TOTAL
AJS,SOLO,1954,SILVER,1
AJS,SOLO,1955,BLACK,4
AJS,SOLO,1956,BLACK,2
AJS,SOLO,1959,BLUE,1
AJS,SOLO,1960,BLACK,1
AJS,TRAILER,2016,BLUE,1
ALBION,BOAT TRAILER,2004,SILVER,1
ALBION,BOAT TRAILER,2009,SILVER,1
ALBION,CARAVAN VEHICLE,1967,SILVER,2
ALBION,CARAVAN VEHICLE,1974,WHITE,1
ALBION,TIPPER VEHICLE,1963,GREEN,1
ALBION,TIPPER VEHICLE,1964,GREEN,1
ALBION,TRUCK,1967,GREEN,1
ALBION,UTILITY,1935,GREEN,1
ALDOM,DOG TRAILER,2006,RED,1
ALDOM,DOG TRAILER,2009,BLUE,1
ALDOM,DOG TRAILER,2010,WHITE,1
ALDOM,DOG TRAILER,2012,WHITE,2
ALDOM,DOG TRAILER,2014,WHITE,1
ALDOM,DOG TRAILER,2015,WHITE,1
ALDOM,DOG TRAILER,2017,WHITE,2
ALDOM,DOG TRAILER,2018,TAN,2
ALDOM,DOG TRAILER,2018,WHITE,1
ALDOM,DOLLY TRAILER,2018,WHITE,11
ALDOM,DOLLY TRAILER,2019,SILVER,11
ALDOM,PIG TRAILER,2008,BLUE,1
ALDOM,PIG TRAILER,2009,WHITE,6
ALDOM,PIG TRAILER,2010,WHITE,2
ALDOM,PIG TRAILER,2011,WHITE,3
ALDOM,PIG TRAILER,2012,BLACK,1
ALDOM,PIG TRAILER,2012,WHITE,3
ALDOM,PIG TRAILER,2013,SILVER,1
ALDOM,PIG TRAILER,2013,WHITE,1
ALDOM,PIG TRAILER,2014,SILVER,1
ALDOM,PIG TRAILER,2014,WHITE,2
ALDOM,PIG TRAILER,2015,RED,1
ALDOM,PIG TRAILER,2015,WHITE,3
ALDOM,PIG TRAILER,2016,BLUE,1
ALDOM,PIG TRAILER,2016,WHITE,3
ALDOM,PIG TRAILER,2017,BLUE,1
ALDOM,PIG TRAILER,2017,WHITE,1
ALDOM,PIG TRAILER,2018,GREEN,1
ALDOM,PIG TRAILER,2018,WHITE,1
ALDOM,PIG TRAILER,2019,GREY,2
ALDOM,PIG TRAILER,2020,WHITE,2
ALDOM,SEMI TRAILER,2005,RED,1
ALDOM,SEMI TRAILER,2005,WHITE,1
ALDOM,SEMI TRAILER,2007,GOLD,1
ALDOM,SEMI TRAILER,2007,RED,2
ALDOM,SEMI TRAILER,2007,WHITE,2
ALDOM,SEMI TRAILER,2008,RED,2
ALDOM,SEMI TRAILER,2008,WHITE,1
ALDOM,SEMI TRAILER,2009,WHITE,1
ALDOM,SEMI TRAILER,2010,WHITE,1
ALDOM,SEMI TRAILER,2011,BLUE,1
ALDOM,SEMI TRAILER,2011,GREEN,1
ALDOM,SEMI TRAILER,2011,WHITE,1
ALDOM,SEMI TRAILER,2012,WHITE,2
ALDOM,SEMI TRAILER,2013,WHITE,3
ALDOM,SEMI TRAILER,2014,RED,1
ALDOM,SEMI TRAILER,2016,RED,1
ALDOM,SEMI TRAILER,2017,BLUE,2
ALDOM,SEMI TRAILER,2017,GREEN,2
ALDOM,SEMI TRAILER,2017,WHITE,1
ALDOM,SEMI TRAILER,2018,BLACK,1
ALDOM,SEMI TRAILER,2018,WHITE,11
ALDOM,SEMI TRAILER,2019,SILVER,11
ALDOM,SEMI TRAILER,2019,WHITE,2
ALDOM,SEMI TRAILER,2020,SILVER,1
ALDOM,TIPPER TRAILER,2004,WHITE,1
ALDOM,TIPPER TRAILER,2007,WHITE,2
ALDOM,TIPPER TRAILER,2009,WHITE,1
ALDOM,TIPPER TRAILER,2016,WHITE,1
